,Backwater Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plots Greater than 5% from Curve,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Start Time,End Time,MGH Harrison Lake,MGH Harrison River Below Morris,Measured Discharge,Difference from J-Curve,,Harrison Lake Elevation,Harrison River below Morris,Fall,Free Fall,Free Fall Ratio,Free Fall Discharge,Free Fall Q Ratio,J-Curve Rated Discharge,Freefall Discharge,Final Discharge,J-Curve Model Discharge,Model Accuracy,,Rating Fall,Measured Fall,Free Fall Rated Discharge,Stage-Fall Model Discharge,Model Accuracy,,Comments
dd/mm/yyyy,hh:mm,hh:mm,(m),(m),(cms),%,,(ft),(ft),F,Ff,F/Ff,QFf,Q/QFf = JF,QFf * JF,(cfs),(cfs),(cms),%,,(m),(m),(cms),(cms),%,,
2017-04-25,11:53,12:19,9.587,9.3,366,3.5,,31.453,30.511,0.942,0.943,0.998,12507,0.999,12494,12507,12494,354,-3.4,,0.313,0.287,386,374,2.1,,Rio Grande 1200 / Hemisphere
2017-04-25,12:50,13:04,9.591,9.296,385,8.3,,31.466,30.498,0.968,0.947,1.023,,,,12559,12559,355,-7.7,,0.314,0.295,387,378,-1.7,,River Ray / Hemisphere
2017-05-16,8:35,8:54,10.28,9.989,530,1.1,,33.727,32.772,0.955,1.512,0.632,23447,0.79,18523,23447,18523,524,-1.1,,0.482,0.291,655,544,2.6,,Rio Grande 1200 / Hemisphere
2017-05-16,9:29,9:51,10.279,9.995,515,-0.6,,33.723,32.792,0.932,1.511,0.617,23429,0.782,18310,23429,18310,518,0.6,,0.482,0.284,655,538,4.6,,River Ray / Hemisphere
2017-05-16,10:30,10:56,10.279,10,539,4.8,,33.723,32.808,0.915,1.511,0.606,23429,0.775,18165,23429,18165,514,-4.6,,0.482,0.279,655,535,-0.8,,Rio Grande 1200 / Hemisphere
2017-05-16,11:23,11:49,10.279,10.001,506,-1.4,,33.723,32.811,0.912,1.511,0.604,23429,0.774,18136,23429,18136,513,1.4,,0.482,0.278,655,534,5.6,,River Ray / Hemisphere
2017-06-02,8:39,8:56,11.962,11.562,1200,5,,39.245,37.933,1.312,2.524,0.52,55600,0.726,40385,55600,40385,1143,-4.8,,0.893,0.4,1576,1171,-2.4,,Rio Grande 1200 / Hemisphere
2017-08-09,10:40,10:54,10.076,9.631,577,2.3,,33.057,31.597,1.46,1.344,1.086,,,,19932,19932,564,-2.2,,0.432,0.445,569,575,-0.3,,Rio Grande 1200 / Hemisphere
2017-10-03,9:36,9:53,9.016,8.844,219,3.4,,29.58,29.015,0.564,0.475,1.188,,,,7487,7487,212,-3.2,,0.173,0.172,214,214,-2.4,,Rio Grande 1200 / Hemisphere
2017-11-29,9:43,9:57,10.865,10.173,966,0.7,,35.646,33.376,2.27,1.876,1.21,,,,33893,33893,959,-0.7,,0.625,0.692,933,969,0.3,,Rio Grande 1200 / Hemisphere
2018-01-17,9:29,9:55,9.017,8.838,197,-7.1,,29.583,28.996,0.587,0.476,1.234,,,,7494,7494,212,7.7,,0.173,0.179,215,217,10.2,,
2018-04-18,10:30,10:46,9.276,9.037,260,-0.5,,30.433,29.649,0.784,0.688,1.139,,,,9232,9232,261,0.5,,0.237,0.239,287,288,10.6,,
2018-05-09,16:09,16:27,10.989,10.789,623,-2.5,,36.053,35.397,0.656,1.949,0.337,36300,0.622,22573,36300,22573,639,2.5,,0.655,0.2,998,643,3.3,,
2018-05-23,9:04,9:24,12.286,11.92,1230,2.3,,40.308,39.107,1.201,2.715,0.442,62311,0.682,42499,62311,42499,1203,-2.2,,0.972,0.366,1796,1251,1.7,,
2018-06-12,8:26,8:42,10.625,10.23,694,-3.1,,34.859,33.563,1.296,1.735,0.747,29584,0.856,25320,29584,25320,717,3.3,,0.566,0.395,814,712,2.6,,
2018-08-14,11:53,12:09,9.893,9.481,477,-0.6,,32.457,31.105,1.352,1.194,1.132,,,,16951,16951,480,0.6,,0.387,0.412,497,508,6.5,,
2018-11-06,10:17,10:32,9.98,9.561,470,-9.4,,32.742,31.368,1.375,1.266,1.086,,,,18326,18326,519,10.3,,0.409,0.419,530,535,13.9,,
